TOA5,IMNAVAIT-SNOWFENCE,CR1000,12067,CR1000.Std.14,CPU:Imnaviatfence.CR1,11127,Imnaviat,,,,,,,,
TIMESTAMP,RECORD,WS_ms,WindDir,WS_ms_WVc(1),WS_ms_WVc(2),WS_ms_S_WVT,T107_C,Snow_depth_3m,SignalQuality_3m,Snow_depth_8m,SignalQuality_8m,Snow_depth_15m,SignalQuality_15m,Batt_Volt,PanelTemp
TS,RN,meters/second,Degrees,meters/second,meters/second,meters/second,Deg C,,,,,,,Volts,deg. C
,,Smp,Smp,WVc,WVc,Max,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
10/25/2007 13:50,0,1.994,135.7,2.246,136.5,2.886,-11.7,1.167,0,0.301,0,1.006,0,12.06,-7.905
10/25/2007 14:00,1,2.465,127.7,2.368,132.1,2.832,-11.62,1.169,0,1.284,0,1.013,0,12.07,-6.731
10/25/2007 14:10,2,2.734,139.3,2.694,125.3,3.234,-11.83,1.171,0,0.29,0,1.013,0,12.07,-3.836
10/25/2007 14:20,3,2.372,153.2,2.286,148.3,2.744,-12.32,0.121,0,-0.018,0,0.009,0,12.07,-4.225
10/25/2007 14:30,4,1.494,131.6,1.608,140.2,2.347,-10.15,0.011,0,-0.01,0,-0.015,0,12.07,-2.569
10/25/2007 12:00,5,2.543,128.4,2.333,123.9,2.911,-11.63,-0.01,0,0.01,0,-0.004,0,12.1,1.861
10/25/2007 12:10,6,1.994,159.7,2.287,137.4,2.519,-11.54,0.035,0,0.008,0,-0.003,0,12.1,0.565
10/25/2007 12:20,7,2.156,103.3,1.599,132.1,2.381,-10.31,-0.01,0,-0.002,0,-0.012,0,12.1,1.33
10/25/2007 12:30,8,3.004,123.7,2.817,121.1,3.381,-11.08,0.009,0,0.007,0,-0.003,0,12.12,2.672
10/25/2007 12:40,9,2.538,133.7,3.212,122.6,3.68,-10.07,-0.005,0,0.008,0,0.002,0,12.12,0.309
10/25/2007 12:50,10,3.263,123,2.813,130.7,3.518,-10.68,-0.01,0,0.01,0,-0.004,0,12.12,-4.202
10/25/2007 13:00,11,1.813,151.6,2.316,138.8,3.244,-10.54,-0.022,0,0.007,0,-0.007,0,12.12,-5.94
10/25/2007 13:10,12,2.269,126.4,2.416,126.2,3.494,-9.32,-0.025,0,0.001,0,-0.007,0,12.12,-7.017
10/25/2007 13:20,13,2.793,123.9,3.035,113.9,3.773,-9.88,-0.025,0,0.01,0,0,0,12.14,-7.594
10/25/2007 13:30,14,1.931,135.5,2.845,131,3.724,-10.49,-0.023,0,0.008,0,-0.002,0,12.14,-8.04
10/25/2007 13:40,15,1.049,142.6,2.038,137.6,2.445,-10.35,-0.021,0,0.01,0,0.002,0,12.14,-8.49
10/25/2007 13:50,16,1.607,153.8,1.084,132.8,2.381,-10.42,-0.022,0,0.003,0,-0.005,0,12.14,-8.73
10/25/2007 14:00,17,2.357,143,2.107,141.1,2.656,-10.66,-0.019,0,0.007,0,0,0,12.15,-8.89
10/25/2007 14:10,18,2.249,125.7,1.688,139.3,2.416,-10.29,0.006,0,0.008,0,0,0,12.17,-9.23
10/25/2007 14:20,19,0.201,253.5,1.516,121.4,2.729,-10.49,0.016,0,0.007,0,-0.004,0,12.17,-9.55
10/25/2007 14:30,20,0.304,95.1,1.124,142.5,2.347,-9.05,0.004,0,0.011,0,-0.002,0,12.18,-9.75
10/25/2007 14:40,21,3.881,134.4,2.343,124.8,4.474,-11.05,-0.022,0,0.007,0,0.001,0,12.19,-9.8
10/25/2007 14:50,22,2.857,149.4,2.768,137.6,3.68,-8.43,2.503,0,0.012,0,0.008,0,12.19,-9.78
10/25/2007 15:00,23,1.867,121.2,2.552,149.6,3.567,-10.84,-0.016,0,0.006,0,-0.004,0,12.19,-9.62
10/25/2007 15:10,24,4.518,118,4.379,120,5.204,-10.21,-0.025,0,0.009,0,0.001,0,12.21,-9.64
10/25/2007 15:20,25,5.361,116.2,4.484,122.4,5.669,-10.4,-0.021,0,0.009,0,0.001,0,12.22,-9.75
10/25/2007 15:30,26,5.091,127.2,5.316,119.2,5.865,-10.45,-0.053,0,0.009,0,-0.001,0,12.23,-9.87
10/25/2007 15:40,27,5.155,129.1,5.45,122,5.919,-10.57,0.002,0,0.014,0,0,0,12.25,-10.05
10/25/2007 15:50,28,4.283,141.2,5.091,120.1,5.581,-11.21,-0.06,0,0.013,0,0.002,0,12.26,-10.37
10/25/2007 16:00,29,2.945,219.9,2.958,179.7,4.983,-11.01,0.028,0,0.015,0,-0.001,0,12.26,-10.74
10/25/2007 16:10,30,4.278,121.1,3.991,119.3,5.125,-10.98,0.022,0,0.014,0,0.001,0,12.26,-11.25
10/25/2007 16:20,31,5.184,118,4.133,117.9,5.258,-10.58,0,0,0.016,0,0.004,0,12.26,-11.68
10/25/2007 16:30,32,4.243,105.5,4.517,114.3,5.733,-12.06,0.001,0,0.017,0,0.005,0,12.26,-12.05
10/25/2007 16:40,33,5.106,121.9,4.601,122.2,5.233,-11.07,-0.001,0,0.013,0,0.003,0,12.27,-12.39
10/25/2007 16:50,34,4.768,121.5,4.814,120.3,5.454,-10.72,0.003,0,0.013,0,-0.002,0,12.26,-12.55
10/25/2007 17:00,35,5.125,115.5,5.069,117.6,5.743,-10.98,0.002,0,0.011,0,0,0,12.26,-12.65
10/25/2007 17:10,36,4.871,121.3,5.279,119.3,5.851,-11.09,0.026,0,0.018,0,0.006,0,12.26,-12.69
10/25/2007 17:20,37,5.135,121.1,5.32,122.7,5.816,-10.94,-0.007,0,0.015,0,0.003,0,12.26,-12.72
10/25/2007 17:30,38,4.817,121.7,5.086,113,5.914,-11.24,-0.008,0,0.015,0,0.004,0,12.26,-12.74
10/25/2007 17:40,39,5.38,110.6,5.227,118.8,6.081,-10.82,-0.054,0,0.012,0,0.003,0,12.26,-12.69
10/25/2007 17:50,40,4.905,120.8,5.133,122.8,5.919,-9.49,-0.013,0,0.009,0,0,0,12.26,-12.5
10/25/2007 18:00,41,6.115,105.8,5.604,111.6,6.203,-10.16,-0.006,0,0.013,0,0.002,0,12.26,-12.15
10/25/2007 18:10,42,6.282,107.3,5.829,110.9,6.282,-9.91,-0.021,0,0.013,0,0.002,0,12.25,-11.84
10/25/2007 18:20,43,5.694,121.1,5.554,116.9,6.115,-10.02,-0.035,0,0.015,0,0.003,0,12.26,-11.58
10/25/2007 18:30,44,6.066,119.7,5.394,122.9,6.066,-10.25,-0.032,0,0.012,0,0.005,0,12.26,-11.44
10/25/2007 18:40,45,5.89,110.5,5.496,116.7,6.037,-10.55,-0.02,0,0.011,0,0,0,12.26,-11.42
10/25/2007 18:50,46,5.199,130.7,5.327,119.8,5.954,-10.49,-0.019,0,0.011,0,0.002,0,12.26,-11.44
10/25/2007 19:00,47,5.547,113.4,5.175,113.8,5.748,-10.4,-0.001,0,0.014,0,0.006,0,12.26,-11.49
10/25/2007 19:10,48,4.675,114.8,5.059,114,6.203,-10.73,-0.02,0,0.014,0,0.003,0,12.26,-11.51
10/25/2007 19:20,49,5.562,115,5.321,115.9,6.086,-10.45,-0.043,0,0.011,0,0.004,0,12.25,-11.56
10/25/2007 19:30,50,4.165,121.6,4.916,116,5.978,-10.25,0.015,0,0.012,0,0.004,0,12.25,-11.56
10/25/2007 19:40,51,4.792,123.8,5.096,120,5.664,-9.82,-0.022,0,0.017,0,0.002,0,12.25,-11.49
10/25/2007 19:50,52,5.013,123,4.991,120,5.998,-9.45,-0.025,0,0.014,0,0.004,0,12.25,-11.3
10/25/2007 20:00,53,5.027,115.7,5.252,117.6,6.223,-9.68,-0.021,0,0.012,0,0.002,0,12.25,-11.09
10/25/2007 20:10,54,4.268,119.3,4.868,115.4,5.611,-9.88,-0.03,0,0.013,0,0.002,0,12.25,-10.98
10/25/2007 20:20,55,3.714,107.1,4.606,115.2,5.542,-9.5,-0.021,0,0.012,0,0,0,12.25,-10.91
10/25/2007 20:30,56,5.361,110,4.655,119.2,5.508,-8.7,-0.021,0,0.012,0,0.002,0,12.25,-10.84
10/25/2007 20:40,57,4.861,105.4,4.802,106.3,5.385,-9.47,-0.032,0,0.012,0,0.002,0,12.25,-10.63
10/25/2007 20:50,58,1.47,167,2.385,160.3,4.704,-9.99,-0.029,0,0.012,0,0.005,0,12.25,-10.63
10/25/2007 21:00,59,5.086,115.5,3.848,132.5,5.209,-8.47,-0.026,0,0.014,0,0.003,0,12.25,-10.6
10/25/2007 21:10,60,3.577,140,4.212,122.9,4.92,-8.06,-0.028,0,0.015,0,0.003,0,12.24,-10.37
10/25/2007 21:20,61,3.023,137.7,2.842,144.1,3.626,-8.08,-0.029,0,0.016,0,0.002,0,12.25,-10.17
10/25/2007 21:30,62,0.916,146.2,1.961,144.1,3.097,-8.35,-0.023,0,0.012,0,0.002,0,12.24,-9.98
10/25/2007 21:40,63,6.267,134.4,3.405,152.5,6.267,-7.245,-0.023,0,0.011,0,0.005,0,12.24,-9.8
10/25/2007 21:50,64,6.468,135.1,5.856,137.4,6.855,-6.679,-0.016,0,0.014,0,0.004,0,12.24,-9.39
10/25/2007 22:00,65,6.164,135.4,6.171,136.1,6.929,-6.78,-0.041,0,0.012,0,0.002,0,12.24,-8.87
10/25/2007 22:10,66,6.056,133.4,6.017,131,6.507,-6.951,-0.057,0,0.013,0,0.003,0,12.24,-8.46
10/25/2007 22:20,67,4.817,137.8,5.956,136.8,7.473,-6.96,-0.057,0,0.009,0,-0.001,0,12.24,-8.15
10/25/2007 22:30,68,4.155,149.7,5.117,150.4,6.287,-6.799,-0.064,0,0.013,0,0.001,0,12.24,-8.02
10/25/2007 22:40,69,5.591,161.5,4.838,146,6.027,-6.528,-0.047,0,0.016,0,0.001,0,12.24,-7.905
10/25/2007 22:50,70,5.419,165.8,5.673,158.1,6.282,-6.088,-0.032,0,0.014,0,0,0,12.24,-7.727
10/25/2007 23:00,71,4.405,156.6,4.918,153,5.542,-6.799,-0.026,0,0.014,0,0,0,12.24,-7.571
10/25/2007 23:10,72,4.557,167.5,4.552,151.2,5.449,-6.578,-0.02,0,0.015,0,-0.001,0,12.24,-7.571
10/25/2007 23:20,73,4.626,152.2,3.824,145.5,4.689,-7.335,0.011,0,0.013,0,0,0,12.24,-7.704
10/25/2007 23:30,74,5.836,163.6,4.703,156.6,5.836,-6.9,-0.025,0,0.016,0,0,0,12.24,-7.86
10/25/2007 23:40,75,5.586,162.4,5.436,157.3,6.399,-6.518,-0.025,0,0.015,0,-0.001,0,12.24,-7.815
10/25/2007 23:50,76,5.248,154.8,5.486,160.6,6.546,-6.438,-0.028,0,0.015,0,-0.002,0,12.24,-7.682
10/26/2007 0:00,77,4.469,156.7,5.222,162.6,5.924,-6.599,-0.02,0,0.019,0,0.001,0,12.24,-7.526
10/26/2007 0:10,78,4.234,163.9,4.674,156,5.62,-6.418,-0.015,0,0.015,0,-0.002,0,12.24,-7.35
10/26/2007 0:20,79,4.748,153.7,4.22,157.2,5.292,-6.398,-0.06,0,0.017,0,0,0,12.24,-7.216
10/26/2007 0:30,80,3.489,153.9,4.271,159.2,5.214,-6.248,-0.067,0,0.016,0,-0.001,0,12.24,-7.063
10/26/2007 0:40,81,3.43,161.1,3.679,160.5,4.449,-6.258,-0.066,0,0.015,0,-0.003,0,12.24,-6.907
10/26/2007 0:50,82,3.205,154.2,3.378,157,3.969,-6.229,-0.037,0,0.015,0,-0.003,0,12.24,-6.864
10/26/2007 1:00,83,2.984,163.7,3.124,159.6,3.538,-6.68,-0.01,0,0.016,0,0,0,12.24,-6.864
10/26/2007 1:10,84,2.955,141.7,3.144,150.9,3.695,-6.741,0.011,0,0.015,0,-0.001,0,12.24,-6.952
10/26/2007 1:20,85,3.209,129.1,3.074,142.2,3.42,-6.853,0.036,0,0.015,0,0.001,0,12.24,-7.04
10/26/2007 1:30,86,2.715,151.1,3.223,143.2,3.616,-6.832,0.021,0,0.014,0,0,0,12.24,-7.128
10/26/2007 1:40,87,3.337,157.5,2.929,157.1,3.357,-7.105,-0.022,0,0.015,0,-0.003,0,12.24,-7.261
10/26/2007 1:50,88,3.464,153.1,2.993,154.4,3.464,-7.878,0.038,0,0.017,0,0,0,12.24,-7.46
10/26/2007 2:00,89,2.636,169.2,2.911,162.2,3.504,-7.959,-0.046,0,0.015,0,-0.003,0,12.24,-7.704
10/26/2007 2:10,90,3.254,153.8,3.248,159.9,3.66,-7.307,2.503,0,0.014,0,-0.004,0,12.24,-7.928
10/26/2007 2:20,91,2.803,159.3,3.041,161.5,3.425,-7.469,0.043,0,0.016,0,0,0,12.23,-8.02
10/26/2007 2:30,92,3.724,162.4,3.208,158.4,3.871,-7.003,-0.042,0,0.015,0,-0.002,0,12.23,-8.11
10/26/2007 2:40,93,3.508,146.5,3.163,153,3.577,-7.509,-0.053,0,0.015,0,-0.001,0,12.24,-8.17
10/26/2007 2:50,94,3.69,141.6,3.691,144.2,4.057,-7.387,-0.012,0,0.014,0,-0.002,0,12.23,-8.26
10/26/2007 3:00,95,3.91,144.4,3.827,145.3,4.243,-7.021,-0.022,0,0.015,0,-0.002,0,12.23,-8.26
10/26/2007 3:10,96,3.42,157,3.772,156.7,4.239,-6.648,-0.036,0,0.014,0,-0.004,0,12.23,-8.17
10/26/2007 3:20,97,2.837,153.2,3.31,160.3,3.748,-7.488,-0.036,0,0.015,0,-0.003,0,12.23,-8.06
10/26/2007 3:30,98,3.205,166.5,3.576,151.6,4.116,-7.398,-0.011,0,0.016,0,-0.002,0,12.23,-8.04
10/26/2007 3:40,99,3.249,163,3.365,159.4,3.856,-7.591,2.503,0,0.017,0,0,0,12.23,-8.04
10/26/2007 3:50,100,3.949,170.4,3.875,168.5,4.474,-7.043,2.503,0,0.016,0,-0.002,0,12.23,-8.11
10/26/2007 4:00,101,4.381,165,4.183,168.2,4.542,-7.124,-0.013,0,0.015,0,-0.004,0,12.23,-8.06
10/26/2007 4:10,102,4.145,163.2,4.418,165,4.939,-6.861,2.503,0,0.016,0,-0.004,0,12.23,-8.02
10/26/2007 4:20,103,3.185,157.6,3.77,163.8,4.395,-7.124,-0.009,0,0.016,0,-0.004,0,12.23,-7.951
10/26/2007 4:30,104,3.739,160.6,3.294,164.6,3.739,-6.519,-0.01,0,0.018,0,-0.001,0,12.23,-7.905
10/26/2007 4:40,105,3.513,164.8,3.765,167.7,4.096,-6.268,-0.011,0,0.016,0,-0.005,0,12.22,-7.795
10/26/2007 4:50,106,3.151,156,3.318,160.7,3.729,-6.439,-0.017,0,0.015,0,-0.001,0,12.22,-7.639
10/26/2007 5:00,107,2.293,148.9,2.889,161.6,3.396,-6.762,-0.011,0,0.015,0,-0.005,0,12.22,-7.505
10/26/2007 5:10,108,2.254,131.5,2.613,142.6,3.464,-6.16,-0.019,0,0.015,0,-0.004,0,12.22,-7.415
10/26/2007 5:20,109,3.018,163.1,2.886,163.3,3.9,-5.861,-0.015,0,0.015,0,-0.005,0,12.21,-7.282
10/26/2007 5:30,110,2.504,159.7,2.876,169,3.381,-5.562,0,0,0.015,0,-0.005,0,12.21,-7.128
